hspeed,Distancefromexchange,MarketClassification, t24hr , httppost24hr , dns_24hrs , jitter_24hrs_up , jitter_24hrs_down , latencyloss24 
52.00,381.19,381.19,53.23,9.36,19.06,0.42,0.42,20.37
38.00,764.25,764.25,37.07,9.31,9.55,0.22,0.45,6.74
20.00,241.61,241.61,13.93,0.85,19.49,0.47,0.57,18.03
76.00,92.66,92.66,68.91,18.68,13.19,0.21,0.32,13.96
20.00,1130.04,1130.04,13.54,0.90,34.57,1.12,1.06,25.13
8.00,4012.00,4012.00,2.29,0.32,39.33,1.13,0.66,24.28
70.00,1605.66,1605.66,75.59,4.64,16.03,3.76,0.38,20.44
55.00,872.48,872.48,45.19,9.17,22.49,0.42,4.08,29.20
17.00,1681.42,1681.42,3.00,0.57,22.92,0.86,0.77,18.67
17.00,1460.29,1460.29,13.72,1.02,16.75,1.63,1.71,14.97
76.00,3435.60,3435.60,50.71,16.23,17.40,0.29,2.85,7.97
0.00,0.00,0.00,17.46,0.69,16.13,0.81,0.80,11.07
38.00,2982.39,2982.39,32.70,8.28,15.10,4.05,0.37,10.08
200.00,0.00,0.00,155.77,19.45,16.90,2.84,0.38,16.92
200.00,0.00,0.00,197.18,12.11,14.50,1.48,0.09,22.25
200.00,0.00,0.00,215.89,12.02,15.54,2.55,0.22,17.02
250.00,471.66,471.66,227.36,29.26,12.31,0.18,0.21,8.35
200.00,0.00,0.00,209.36,20.69,14.36,2.21,0.23,23.93
200.00,1979.53,1979.53,162.64,11.90,13.97,1.77,0.29,14.38
17.00,1507.18,1507.18,7.30,0.93,12.58,0.72,0.80,14.35
76.00,0.00,0.00,55.44,17.74,13.67,0.31,1.07,16.74
76.00,1466.62,1466.62,66.39,18.46,12.75,0.18,3.88,22.74
76.00,1093.11,1093.11,73.58,18.56,6.99,0.26,0.32,5.85
38.00,0.00,0.00,36.46,7.46,8.11,0.32,0.63,12.20
76.00,1866.90,1866.90,68.88,17.03,6.48,0.19,0.28,8.39
38.00,1532.63,1532.63,40.98,8.27,8.84,0.27,0.69,7.63
76.00,1521.52,1521.52,70.10,18.41,10.42,0.75,2.23,14.29
17.00,0.00,0.00,4.05,0.67,32.35,0.95,0.62,35.25
76.00,0.00,0.00,74.21,18.54,7.28,0.23,0.35,6.30
76.00,1076.03,1076.03,28.38,16.09,18.84,0.42,0.59,14.19
38.00,2524.75,2524.75,35.17,9.13,11.33,0.23,0.27,10.16
17.00,135.79,135.79,18.65,0.65,24.65,0.95,0.41,21.14
38.00,601.85,601.85,33.70,6.92,17.43,0.41,0.47,14.19
38.00,2975.78,2975.78,23.49,4.97,20.77,0.54,0.66,13.48
38.00,1598.85,1598.85,36.90,9.35,6.54,0.26,0.34,18.34
76.00,971.60,971.60,43.44,18.27,33.86,0.30,0.40,27.57
17.00,838.28,838.28,14.92,0.67,20.42,1.13,0.41,20.83
38.00,1398.08,1398.08,36.73,9.30,12.14,0.22,0.42,12.34
17.00,152.55,152.55,16.93,0.73,35.29,0.94,0.53,29.47
38.00,1464.66,1464.66,36.83,9.29,20.96,0.22,0.53,15.97
38.00,0.00,0.00,36.08,7.54,5.76,0.60,0.62,6.75
17.00,3223.00,3223.00,0.79,0.34,38.12,0.86,0.88,39.87
38.00,2922.54,2922.54,18.62,2.95,27.79,0.47,0.63,23.45
17.00,4128.07,4128.07,1.14,0.55,44.94,1.11,1.23,44.77
8.00,3102.02,3102.02,3.76,0.38,34.53,0.92,0.54,28.91
52.00,319.08,319.08,45.69,6.03,21.61,0.41,0.43,12.68
55.00,722.83,722.83,15.99,4.12,15.04,0.62,0.64,14.70
17.00,0.00,0.00,11.87,1.01,39.85,1.01,0.53,33.83
76.00,2625.11,2625.11,74.18,18.55,10.50,0.20,0.32,9.75
38.00,5334.02,5334.02,35.04,6.98,11.12,0.65,0.32,14.92
38.00,2297.16,2297.16,20.75,4.79,18.78,0.43,0.34,10.49
76.00,2466.80,2466.80,55.65,12.85,15.63,3.82,0.57,15.03
76.00,2449.02,2449.02,73.12,18.53,11.09,0.19,0.46,10.05
76.00,1678.99,1678.99,50.92,14.50,19.46,0.21,0.22,19.29
0.00,0.00,0.00,6.63,0.84,29.36,1.01,0.66,26.31
20.00,1712.31,1712.31,7.99,0.63,30.99,0.93,1.34,30.32
20.00,0.00,0.00,9.93,0.63,31.90,2.15,0.95,32.58
20.00,684.47,684.47,6.02,0.73,30.23,0.96,0.54,28.74
75.00,1852.37,1852.37,74.41,9.52,12.70,0.30,0.32,11.31
50.00,607.45,607.45,53.11,5.24,9.05,0.19,0.17,8.65
75.00,272.55,272.55,74.45,9.53,12.96,0.30,0.31,11.28
50.00,4874.61,4874.61,53.19,5.21,8.81,0.19,0.17,8.38
75.00,1787.13,1787.13,74.31,9.80,12.67,0.29,0.31,11.48
50.00,1913.66,1913.66,52.06,4.74,8.81,0.17,0.19,7.99
20.00,217.88,217.88,8.21,0.74,41.76,0.91,0.55,27.74
20.00,1396.80,1396.80,3.59,0.75,29.37,0.95,0.56,30.48
50.00,2382.97,2382.97,46.06,9.60,7.34,0.18,0.16,7.86
50.00,516.20,516.20,52.44,4.76,7.46,0.17,0.17,8.11
20.00,824.58,824.58,13.01,0.79,33.63,1.18,0.43,34.65
75.00,1976.89,1976.89,75.79,9.93,6.68,0.18,0.15,8.08
