Domain,Ip,Ip_bin,Throughput,Unit
puno.al,217.160.0.90,11011001101000000000000001011010,3020.80000,Kb/s
www.gjykataelarte.gov.al,216.55.105.147,11011000001101110110100110010011,385.50000,Kb/s
pingis.ax,212.97.132.199,11010100011000011000010011000111,6328.32000,Kb/s
www.egsa-alger.dz,197.112.0.95,11000101011100000000000001011111,7966.72000,Kb/s
lokaltapiola.ax,104.28.29.120,01101000000111000001110101111000,2150.40000,Kb/s
www.beder.edu.al,85.159.209.158,01010101100111111101000110011110,2544.64000,Kb/s
www.univ-tebessa.dz,193.194.92.131,11000001110000100101110010000011,470604.80000,Kb/s
midi.as,177.47.113.34,10110001001011110111000100100010,410117.12000,Kb/s
www.brandkar.ax,194.110.177.53,11000010011011101011000100110101,2365.44000,Kb/s
moj.gov.af,103.132.98.215,01100111100001000110001011010111,7592.96000,Kb/s
www.meteo.dz,80.249.72.58,01010000111110010100100000111010,4034.56000,Kb/s
lyyski.ax,212.17.176.44,11010100000100011011000000101100,3240.96000,Kb/s
www.iec.org.af,207.180.249.180,11001111101101001111100110110100,2042.88000,Kb/s
tri.al,217.149.193.181,11011001100101011100000110110101,5263.36000,Kb/s
openprocurement.al,144.76.44.140,10010000010011000010110010001100,5667.84000,Kb/s
droit.mjustice.dz,197.112.0.210,11000101011100000000000011010010,2439.68000,Kb/s
eldjoumhouria.dz,204.93.196.186,11001100010111011100010010111010,5565.44000,Kb/s
www.lemlandsskola.ax,213.204.35.142,11010101110011000010001110001110,6466.56000,Kb/s
cms.gawharshad.edu.af,108.179.235.11,01101100101100111110101100001011,2565.12000,Kb/s
www.osfa.al,35.214.192.151,00100011110101101100000010010111,2964.48000,Kb/s
www.simning.ax,213.204.51.175,11010101110011000011001110101111,5345.28000,Kb/s
www.achco.org.af,158.69.254.230,10011110010001011111111011100110,12595.20000,Kb/s
www.univ-oran2.dz,193.194.74.74,11000001110000100100101001001010,4608.00000,Kb/s
cpau.org.af,192.185.225.185,11000000101110011110000110111001,10370.56000,Kb/s
www.xn--nordsonsgrv-u8a.ax,88.129.20.227,01011000100000010001010011100011,3404.80000,Kb/s
www.telemetrix.al,69.89.31.164,01000101010110010001111110100100,570.50000,Kb/s
www.ishp.gov.al,185.53.100.251,10111001001101010110010011111011,1960.96000,Kb/s
medicaldistribution.al,159.69.206.65,10011111010001011100111001000001,2344.96000,Kb/s
www.univ-constantine2.dz,144.91.73.190,10010000010110110100100110111110,9774.08000,Kb/s
www.saltvik.ax,194.110.177.53,11000010011011101011000100110101,3343.36000,Kb/s
www.geta.ax,194.110.177.53,11000010011011101011000100110101,3537.92000,Kb/s
www.akbis.gov.af,104.27.144.107,01101000000110111001000001101011,38016.00000,Kb/s
asig.gov.al,134.0.41.110,10000110000000000010100101101110,1105.92000,Kb/s
www.umc.edu.dz,193.194.84.140,11000001110000100101010010001100,1300.48000,Kb/s
www.jobs.af,3.6.30.145,00000011000001100001111010010001,2490368.00000,Kb/s
vod.af,139.7.147.41,10001011000001111001001100101001,14389.76000,Kb/s
kardan.edu.af,184.154.121.27,10111000100110100111100100011011,3266.56000,Kb/s
acaa.gov.af,103.83.38.227,01100111010100110010011011100011,3404.80000,Kb/s
www.mod.gov.al,134.0.63.98,10000110000000000011111101100010,763.50000,Kb/s
ahg.af,173.231.200.10,10101101111001111100100000001010,1510.40000,Kb/s
www.poste.dz,197.112.0.69,11000101011100000000000001000101,1699.84000,Kb/s
www.interieur.gov.dz,196.20.110.179,11000100000101000110111010110011,5473.28000,Kb/s
www.brando.ax,194.71.144.43,11000010010001111001000000101011,6016.00000,Kb/s
fsecsg.univ-tiaret.dz,193.194.87.103,11000001110000100101011101100111,1684.48000,Kb/s
opencorporates.al,144.76.44.140,10010000010011000010110010001100,406369.28000,Kb/s
www.dge.gov.dz,197.112.0.111,11000101011100000000000001101111,10577.92000,Kb/s
www.univ-setif2.dz,193.194.86.167,11000001110000100101011010100111,1937.92000,Kb/s
uet.edu.al,104.28.22.22,01101000000111000001011000010110,2119.68000,Kb/s
www.joradp.dz,41.111.135.101,00101001011011111000011101100101,265.70000,Kb/s
cacobatph.dz,197.112.0.111,11000101011100000000000001101111,1771.52000,Kb/s
km.gov.af,158.69.249.144,10011110010001011111100110010000,3768.32000,Kb/s
www.ere.gov.al,80.90.80.109,01010000010110100101000001101101,403.17000,Kb/s
www.kumlinge.ax,46.21.109.147,00101110000101010110110110010011,10598.40000,Kb/s
old.mcit.gov.af,103.132.98.201,01100111100001000110001011001001,1822.72000,Kb/s
www.mae.gov.dz,197.112.0.90,11000101011100000000000001011010,7101.44000,Kb/s
idlg.gov.af,67.205.154.79,01000011110011011001101001001111,2181.12000,Kb/s
www.ava.org.af,207.180.252.169,11001111101101001111110010101001,7183.36000,Kb/s
www.acmpchlef.dz,94.23.217.194,01011110000101111101100111000010,6389.76000,Kb/s
www.lfp.dz,51.91.104.141,00110011010110110110100010001101,11842.56000,Kb/s
www.favoile.dz,51.89.7.214,00110011010110010000011111010110,4853.76000,Kb/s
old.kommun.ax,194.110.177.98,11000010011011101011000101100010,4930.56000,Kb/s
www.bksh.al,134.0.41.133,10000110000000000010100110000101,4766.72000,Kb/s
www.sntf.dz,82.196.25.84,01010010110001000001100101010100,7019.52000,Kb/s
www.absk.ax,185.21.146.248,10111001000101011001001011111000,13271.04000,Kb/s
baremet.al,34.210.173.62,00100010110100101010110100111110,3046.40000,Kb/s
