Ip,Throughput
172.217.169.92,1.061
172.217.169.93,1.048
172.217.169.94,1.191
172.217.169.95,1.095
172.217.169.96,0.742
172.217.169.97,0.759
172.217.169.98,0.744
172.217.169.99,0.757
172.217.169.100,0.758
172.217.169.101,0.801
172.217.169.102,0.771
172.217.169.103,0.74
172.217.169.104,0.812
172.217.169.105,0.73
172.217.169.106,0.782
172.217.169.107,0.703
172.217.169.109,0.727
172.217.169.110,0.705
172.217.169.111,0.785
172.217.169.113,0.443
172.217.169.114,0.772
172.217.169.117,0.727
172.217.169.118,0.794
172.217.169.119,0.177
172.217.169.120,0.752
172.217.169.121,0.833
172.217.169.122,0.788
172.217.169.123,0.719
172.217.169.124,0.7
172.217.169.125,0.838
172.217.169.126,0.766
172.217.169.127,0.696
172.217.169.128,0.665
172.217.169.129,0.772
172.217.169.130,0.716
172.217.169.131,0.675
172.217.169.132,0.796
172.217.169.133,0.708
172.217.169.134,0.724
172.217.169.135,0.814
172.217.169.136,0.33
172.217.169.137,0.471
172.217.169.138,0.459
172.217.169.139,0.813
172.217.169.141,0.726
172.217.169.142,0.742
172.217.169.143,0.702
172.217.169.145,0.391
172.217.169.146,0.718
172.217.169.149,0.716
172.217.169.150,0.55
172.217.169.151,0.921
172.217.169.152,0.692
172.217.169.153,0.666
172.217.169.154,0.714
172.217.169.155,0.723
172.217.169.156,0.714
172.217.169.157,0.824
172.217.169.158,0.762
172.217.169.159,0.734
172.217.169.160,0.738
172.217.169.161,0.719
172.217.169.162,0.672
172.217.169.163,0.812
172.217.169.164,0.701
172.217.169.165,0.719
172.217.169.166,0.762
172.217.169.167,0.765
172.217.169.168,0.691
172.217.169.169,0.755
172.217.169.170,0.758
172.217.169.171,0.67
172.217.169.173,0.78
172.217.169.174,0.67
172.217.169.175,0.694
172.217.169.177,0.399
172.217.169.178,0.739
172.217.169.181,0.671
172.217.169.182,0.767
172.217.169.183,0.733
172.217.169.184,0.719
172.217.169.185,0.77
172.217.169.186,0.677
172.217.169.187,0.743
172.217.169.188,0.712
172.217.169.189,0.78
172.217.169.190,0.751
172.217.169.191,0.666
172.217.169.192,0.867
172.217.169.193,0.662
172.217.169.194,0.687
172.217.169.195,0.695
172.217.169.196,0.74
172.217.169.197,0.687
172.217.169.198,0.732
172.217.169.199,0.927
172.217.169.200,0.845
172.217.169.201,0.764
172.217.169.202,0.717
172.217.169.203,0.753
172.217.169.205,0.699
172.217.169.206,0.742
172.217.169.207,0.703
172.217.169.209,0.403
172.217.169.210,0.643
172.217.169.213,0.778
172.217.169.214,0.68
172.217.169.215,0.728
172.217.169.216,0.745
172.217.169.217,0.737
172.217.169.218,0.767
172.217.169.219,0.775
172.217.169.220,0.728
172.217.169.221,0.697
172.217.169.222,0.715
172.217.169.223,0.717
172.217.169.224,0.426
172.217.169.225,0.188
172.217.169.226,0.42
172.217.169.227,0.404
172.217.169.228,0.396
172.217.169.229,0.421
172.217.169.230,0.389
172.217.169.231,0.42
172.217.169.232,0.181
172.217.169.233,0.434
172.217.169.234,0.385
172.217.169.235,0.185
172.217.169.237,0.401
172.217.169.238,0.181
172.217.169.239,0.424
172.217.169.241,0.167
172.217.169.242,0.409
172.217.169.245,0.346
172.217.169.246,0.404
172.217.169.247,0.409
172.217.169.248,0.409
172.217.169.249,0.414
172.217.169.250,0.354
172.217.169.251,0.308
172.217.169.252,0.412
172.217.169.253,0.517
172.217.169.254,0.383
216.58.204.1,1.094
216.58.204.2,1.118
216.58.204.4,1.145
216.58.204.5,1.109
216.58.204.6,0.986
216.58.204.7,1.121
216.58.204.8,1.044
216.58.204.10,0.97
216.58.204.11,1.123
216.58.204.13,1.201
216.58.204.15,1.122
216.58.204.17,0.745
216.58.204.18,1.083
216.58.204.21,0.715
216.58.204.22,1.047
216.58.204.23,0.994
216.58.204.24,1.038
216.58.204.25,1.061
216.58.204.26,1.18
216.58.204.27,1.097
216.58.204.28,1.097
216.58.204.29,0.97
216.58.204.30,1.079
216.58.204.31,1.176
216.58.204.32,1.042
216.58.204.33,1.043
216.58.204.34,1.097
216.58.204.37,1.174
216.58.204.38,1.016
216.58.204.39,1.021
216.58.204.40,1.209
216.58.204.41,1.075
216.58.204.42,1.022
216.58.204.43,1.11
216.58.204.45,1.317
216.58.204.46,1.099
216.58.204.47,1.094
216.58.204.49,0.76
216.58.204.50,1.093
216.58.204.53,1.028
216.58.204.54,1.103
216.58.204.55,1.34
216.58.204.56,1.016
216.58.204.57,1.24
216.58.204.58,1.091
216.58.204.59,1.204
216.58.204.60,0.933
216.58.204.61,1.047
216.58.204.62,1.179
216.58.204.63,1.008
216.58.204.64,1.077
216.58.204.65,1.043
216.58.204.66,1.311
216.58.204.69,0.948
216.58.204.70,1.144
216.58.204.71,1.015
216.58.204.72,1.191
216.58.204.74,0.695
216.58.204.75,1.197
216.58.204.77,1.125
216.58.204.78,1.079
216.58.204.79,1.232
216.58.204.81,0.828
216.58.204.82,0.945
216.58.204.85,1.296
216.58.204.86,1.101
216.58.204.87,1.076
216.58.204.88,1.271
216.58.204.89,1.132
216.58.204.90,0.843
216.58.204.91,1.108
216.58.204.92,1.048
216.58.204.93,0.738
216.58.204.94,1.066
216.58.204.95,1.181
216.58.204.96,1.064
216.58.204.97,0.995
216.58.204.98,0.968
216.58.204.99,0.974
216.58.204.100,1.039
216.58.204.101,1.092
216.58.204.102,1.051
216.58.204.103,1.07
216.58.204.104,1.1
216.58.204.105,1.087
216.58.204.106,0.965
216.58.204.107,1.06
216.58.204.109,1.024
216.58.204.110,1.005
216.58.204.111,1.139
216.58.204.113,0.859
216.58.204.114,1.028
216.58.204.117,1.092
216.58.204.118,1.197
216.58.204.119,1.09
216.58.204.120,0.963
216.58.204.121,1.035
216.58.204.122,1.012
216.58.204.123,1.016
216.58.204.124,1.167
216.58.204.125,1.056
216.58.204.126,1.145
216.58.204.127,1.037
216.58.204.128,1.018
216.58.204.129,0.995
216.58.204.130,1.256
216.58.204.131,1.029
216.58.204.132,1.005
216.58.204.133,1
216.58.204.134,0.88
216.58.204.135,1.085
216.58.204.136,1.081
216.58.204.137,0.643
216.58.204.138,1.033
216.58.204.139,1.053
216.58.204.141,1.132
216.58.204.142,0.953
216.58.204.143,0.98
216.58.204.145,0.784
216.58.204.146,1.015
216.58.204.149,1.022
216.58.204.150,0.953
216.58.204.151,0.669
216.58.204.152,1.033
216.58.204.153,1.061
216.58.204.154,1.087
216.58.204.155,0.977
216.58.204.156,1.01
216.58.204.157,1.12
216.58.204.158,0.99
216.58.204.159,1.171
216.58.204.160,0.927
216.58.204.161,1.18
216.58.204.162,1.082
216.58.204.163,1.102
216.58.204.164,1.153
216.58.204.165,1.056
216.58.204.166,1.005
216.58.204.167,1.006
216.58.204.168,1.158
216.58.204.169,1.094
216.58.204.170,1.087
216.58.204.171,1.087
216.58.204.173,1.036
216.58.204.174,1.26
216.58.204.175,1.099
216.58.204.177,0.654
216.58.204.178,1.094
216.58.204.181,1.24
216.58.204.182,1.168
216.58.204.183,1.187
216.58.204.184,1.225
216.58.204.185,1.137
216.58.204.186,0.835
216.58.204.187,1.138
216.58.204.188,1.069
216.58.204.189,1.166
216.58.204.190,0.95
216.58.204.191,1.094
216.58.204.192,1.045
216.58.204.193,0.922
216.58.204.194,1.058
216.58.204.195,1.155
216.58.204.196,1.188
216.58.204.197,1.235
216.58.204.198,0.907
216.58.204.199,0.86
216.58.204.200,0.989
216.58.204.201,1.075
216.58.204.202,0.928
216.58.204.203,1.141
216.58.204.205,1.057
216.58.204.206,0.992
216.58.204.207,1.172
216.58.204.209,0.8
216.58.204.210,1.203
216.58.204.213,1.019
216.58.204.214,1.278
216.58.204.215,1.238
216.58.204.216,1.072
216.58.204.217,0.878
216.58.204.218,0.99
216.58.204.219,1.145
216.58.204.220,1.24
216.58.204.221,1.236
216.58.204.222,1.025
216.58.204.223,1.029
216.58.204.224,1.101
216.58.204.225,0.971
216.58.204.226,0.837
216.58.204.228,0.998
216.58.204.229,1.248
216.58.204.230,1.053
216.58.204.231,0.991
216.58.204.232,1.096
216.58.204.233,0.875
216.58.204.234,1.028
216.58.204.235,1.142
216.58.204.237,1.184
216.58.204.239,1.047
216.58.204.241,0.774
216.58.204.242,1.14
216.58.204.245,1.191
216.58.204.246,1.165
216.58.204.247,0.968
216.58.204.248,1.099
216.58.204.249,0.983
216.58.204.250,1.244
216.58.204.251,1.217
216.58.204.252,1.165
216.58.204.253,0.972
216.58.204.254,0.415
157.240.1.9,0.42
157.240.1.11,0.531
157.240.1.14,0.479
157.240.1.22,0.432
157.240.1.36,0.433
157.240.1.41,0.41
157.240.1.50,0.433
157.240.1.169,0.363
220.181.38.129,0.451
220.181.38.130,0.363
220.181.38.131,0.285
220.181.38.132,0.335
220.181.38.134,0.348
220.181.38.135,0.326
220.181.38.136,0.207
220.181.38.137,0.002
220.181.38.138,0.29
220.181.38.143,0
220.181.38.144,0.469
220.181.38.145,0.287
220.181.38.146,0.002
220.181.38.147,0.001
220.181.38.149,0.409
220.181.38.150,0.389
220.181.38.151,0.391
220.181.38.165,0.296
220.181.38.177,0
220.181.38.188,0.139
220.181.38.196,0.001
220.181.38.200,0.005
220.181.38.202,0.003
220.181.38.203,0.003
220.181.38.206,0.006
220.181.38.213,0.008
220.181.38.218,0
220.181.38.225,0.001
220.181.38.251,0
176.32.98.2,0.103
176.32.98.63,0.533
176.32.98.67,0.027
176.32.98.71,0.001
176.32.98.72,0
176.32.98.84,0.032
176.32.98.87,0.272
176.32.98.94,0.001
176.32.98.115,0.103
176.32.98.116,0.199
176.32.98.126,1.622
176.32.98.132,0.205
176.32.98.176,0.114
176.32.98.184,0.211
176.32.98.185,0.001
176.32.98.189,0.004
176.32.98.194,0.065
176.32.98.214,0.067
176.32.98.224,0.046
176.32.98.243,0.093
91.198.174.132,0.002
58.247.214.79,0
58.247.214.206,0.002
58.247.214.212,0.017
58.247.214.217,0
140.205.94.170,0
172.217.20.1,0.941
172.217.20.2,0.837
172.217.20.3,0.77
172.217.20.4,0.832
172.217.20.5,0.769
172.217.20.6,0.828
172.217.20.7,0.794
172.217.20.8,0.745
172.217.20.9,0.857
172.217.20.10,0.811
172.217.20.11,0.765
172.217.20.13,0.822
172.217.20.14,0.73
